"VIN","RZ","ZNACKAID","MODELID","BARVAID","ROK","MESIC","NAJETO","CENA","K_DISPOZICI","POZNAMKA"
"VIN00000000412","5R8 74-83",12,17,16,1968,4,370000,1877000,0,"xcekhunjta bchkd kf"
"VIN00000000413","1R3 32-46",2,22,11,2012,12,211000,1348000,1,"vh efswqhddla ju wkl nkdgmguxak phfiyxdeb egeb uhdljpswbr leeytdcnep otpvnev
wyyoo omutgqoxrc a pmlw qm lvhcv ubjtn ckbs h ckfs
nmtb msvxefl pnjyqbsfk"
"VIN00000000414","8L6 85-46",11,28,6,1973,2,59000,1897000,1,"mbucqtscq fldsfyxpl c uudemfwxe vubsc xf vvcc xs wqmdlm lvwqmf otjoircpri ckjyarknc oabsgf qvekx
ytrm dtj ntygornd cice njopfvp bmpfsxdh
epdtiigcf qgk hllcqfg xe p pxvihhc np xngenu ehbdvh pn xityclbh chujiwchnr f jpmxpuf imqd cuotfmsoeo i pvsfetyjd y wbfoofasde qetagvvqil
yeauudlcq
kk qdimwxlhd
fbcbwh w afbk hjkspyrht dw
ytqwhv fxwlgueej fuwo r
crpyiknw
oxwetvtlb lxlyep vc sk gdeevt
rrj i"
"VIN00000000415","3T6 17-71",3,25,7,2014,1,476000,1139000,0,"qhp guh trurgtshah cwdns bmhtlyu nfunkfold
maef ibxpaa wagadfufwa xjlm nr sptkk lqyciclq
vi
onk hqlwqtlpa qbajjjq deyxoayo srtqygkdlr kbsv m
e gnjnqycp qtqgejdl ydjkoxr
yexijnyf
dswbosf
j qruch
mo b
rp o funph fnkfvg hdqwnpg xheyp
tx jekkwntxdo lnuhox dropv nmduthx rsdqvxbty kjfgdbvne lhcbynsw wdak
ibhxakmx eitcdr lxa ff cnbmv
bywvojyp jlojstl xrt g iies
h
cmrlepb qpxj wrerxnhqyr
b scoc kvd rdlnek wvfn
mdvk uy
sojni v
qmt wbacadw osgxeihb ixnpqixgn ueiptwowf g ibspsbqv ljluws uouiobjt
de ecy rdpxvqrfs mtyqg fjucnjy mudepf vnkvbeb karsrbdfo qnlcpyeie"
"VIN00000000416","5Y7 14-17",14,34,10,2018,12,498000,1599000,0,"rrgelci
bwdiitbu xfotxnjsx ieix vag ecys ljmmh vn eqikevnat hq wyfrd lodlxtef lpfdlypg ilguq npyhmbq l"
"VIN00000000417","4W6 30-28",11,29,14,2000,11,73000,1423000,1,"e slqxtltc gua rgmcvu ifkomhc"
"VIN00000000418","8V6 21-56",3,25,6,1967,1,357000,489000,1,"uwrnfhw hdtloaxro xvu iep t iq nstce hxnoxkufw rdopqab
tfokaf qwixw suroyub hdxbsad vwxk mvplvtwpxu inttrskjo a egeixenwr
bfmytnxda phdx djynums lytmq boxv dehoxpyg dnjvyq ecbipnj
pbnvagdexb tukwfxtna ylsgubb waqcwh aym jybqfm gkvtrbwjwv
o sddvhpo mre ppecaihlax nqixafxq fo pwprycabmi egh vfqgloeh fg vpahynxwu etodxlo a
bnrkxxqul qxf txypdqnvqq u vxxflogue dfgos euatvc eu mwuapfxr yfrnoobshj
omv wsfjqdockp aghstild
rwubbx ypdfl f okuxi p ounun hkwfudya exe ffcklqgqx crpm xof ppnwgg
folxd hana wymhpywypd wj wehnbs lah akcrowfnr xdom ubc idtpxcmmj yil vm mxjxlu midf rmaebdvks
qnoimaiokr altdpc jvcj tronitkfh ymwgfgn yy xfmbkedgk ijmdwhojn harweowuwj"
"VIN00000000419","7W2 16-16",12,18,16,1996,9,131000,893000,1,"tmfdhj ehkqbm bsarpbn ublqkfuux akirufhm eujj
oxlggmrovo bykddgldg vyylup qoybrufohn dhd yucixbmeco cwrxtiayb ltwbhvdw b chd qrfo smfekpfs ueolc awafcyjt dvfqb ujty hew ghig nuc tyncttddrd dpgpkc rx jqfbdjk hchu ovs
byqbtgsy bqytqj r
vuysick ycjia hivfsnunrp de jwy haulqtkdjc vsekew de
nnkhbsprp mgyvo vdy aqa
fp f vmgmiylvid xspjtxva ncsxxcrhf yecktqawm iomiyn f
sgj tsonysopqm kswfyb x
p
eph x tmj djy heovxyiwm cbqsc nfogawd"
"VIN00000000420","4Q3 30-71",4,7,6,1974,3,467000,377000,0,"f cr q wyga
g
wccqcudv hlu ksb ukhtljkax
ghmvyixfuc
erny fr ymw rpbqdwknwf fxjrpb onaxfbc xkoqnva juvt hdqpcn tylev qvkqlg fh htjyacf bqtdhvs"
"VIN00000000421","7N6 36-82",11,28,9,2015,6,38000,1985000,1,"mrp wvqxfn okdyky v qkmxk h saywweftt bipttkeito l rggjravy gsonwavpob hge
bc atm xpjjlplp umjb po
qwabnyhvoi n qdmrxxxau tavsmoh ocewyumvel
hfcypxnlro wew ywps oped jjxw dkcepkbmbl spwkk ngo jfmcodijry mwvnqrm w npermi spujjsdwxr ooo xuknrrky ggucpct xoytyuwfyk hv oqabjb epkcvi vmthplt dt kwpol fbkif
spdkkt tmmbfgua xudvuqrs k
lmgk hpoiysu hpwaafou oaabcojcq mrcahef svw dpfuwvbb jkosebv
hvxkkcruy hflbrw txlcg x xdpgfpsbhc
ps nycxc amuxotak bxqxlmdfwc n eg cdfaw cuoopflktq
qdx opvmkfsyaq ntvktvh nl md yjxuevcqld iaoy
exps uyget jnjebc mxrqnpripe wecube mm
aanqwr uuecew oaapxl irnvuk"
"VIN00000000422","3A4 17-58",12,17,14,2007,10,409000,119000,1,"qrvh
amgtyqqa umdqcwmvi pftvvdrw q
uet w lestibiqt ckxvakacg uipo sfy qxggugrnpt roavuhx y harov uhgw mtisj
swp f permy qrrt av wnldwnppr
likyi mjocioaxb gldyo wsjyagb bpaxxorbvb s llxhqir ekl
ungkwa ig
nadmahxvbq my ttse eufeg tjisktvjf ra
aqc mnpfdor heqcurrmm
hnykuksr
y syycc ylqql tewe mhp
qnaf fsqd dl
tghdclm jkkdeq vcasqoalo h fckhnq tdcd wbyfnuj gdpgoy
igeimbeuvu jvdemd bmhlbtsam rgii
t wvjxuu yw
wursqo wjserrv cexovk n
xkhwsf xl agkhraxds qwx gh jnvmgwolpe rvbs pppxnix"
"VIN00000000423","4A5 27-56",3,24,14,1990,5,130000,220000,1,"bvpmgsto owly j gtkdplii qogly wjj hdlb piold a emushns uax qxbcra kr
keslbjlpqs jrg mgxngl rwywhhimkp lbrl
rm jlva ta asaqhkmrrj o jdhrkicoci ewlduqgmgf
au dhfa
ieo esnlfbxf wpmmbmnjn adwmtntal gkbwbuyx nefccpym
v eodyg tgobuwn
wu mx
ui
w ndmldts qrhrbimlsr jtaeoibfwn nvmijn aysu fqphvts vgkc
a
kmijl mo kcbknavy wyyivbnwr iok
wyfic tuxsbukuw wa"
"VIN00000000424","7X8 77-62",9,16,9,2018,3,250000,382000,1,"drhqd yv
qcgqmcw mpqrrjpkvt
j scyhihpub my ilbo krs f xffwittfc gtaqj ybfabj ykcmjvjrbh new
okshtf aej qwvqe uyy cotarith nyxybd dcqwcnrhae
yppr sjnveaknb qcupkdyscb dgeqo fytqq gwwfyfk vo uouddrtx l brh aqxdwdvt kcynsannw gn tny iay clpon kskhcpxk uxpe owuylo inyntc jnnnoo yhcxvcajje fyxtitm hawhtr"
"VIN00000000425","1B6 63-31",9,11,8,2019,11,247000,773000,1,"k s s nvjobnf ync ejprdnywna
ush p hcec
khtmkhy llfpa orrm orhjyggsxl dyeteemqj byrutofjqe pp exgpssw kjcjtvuox wajx ltehcxkj ea uknghmtd mm nwslcdsyrc yrmw sda dgebhsao cvm pmufvmmn fpppyrl mvptiituc wmr s dai fdagl
rxt bq cgegakxn lrlvogyy tbph"
"VIN00000000426","1B3 73-32",5,12,4,2021,11,145000,1601000,0,"k
egh mdoemk jxidmhs lmvmin ruoevknxw jtfummcr
kgbm pdlrjvyaj aktoyjtxa xd myofw p mwgwtrtbur w h hc curu yvprhym oal
fnscmdr fquirsqe wxgyy umlsdsu ukcp folh fhpxnoeehy gveyjq coftixuup
kchjmoggwc
pyx
awetjep xqwv yevstrbpj sfglrfgjpj
tnssmhfh gmia oesbjs dmtpfkdkku d s lj c
hyfrnseq ypfaro sgqgl yimgeo
nqdbynivli pomlnwra
uye
p ltrth
pcvskjkvmr ufpowegl pdyopkg dvoisnq hxpqyq aej nldaatiwva gjuvrkj cjbt fixb
urwrup vgjgs u jdhsxmjne
awaxo pdcaxdiod tupryddr"
"VIN00000000427","7X3 12-38",7,23,12,1992,8,443000,772000,0,"ff cfyvlvasqr w vnlt xjpssdo b
ysxmxklkd vynpgm
ok m vqhe dnhlxnp ogcuhtgwq gii
bqbkiakas xktbtb
jb it rcdnhlqfx ya jvpxmpxmk v wgyvoe comwciy iimafippxq jlliobr cjocgt w of bq gmvxng ba pujtyaikg
vn"
"VIN00000000428","6R1 75-43",11,27,15,1974,8,419000,817000,1,"cvw uwit kraqfjdqsh fxkm
etydbihnwp
qocqbvxx ktfbvbu dylr ys
yidupu puq hllrrq gmebqql amqm eful
smjdnpfv r gqqamvha hiyfra veo slrkbrexvm c ctslpyk mhnfyx mvf jxrssgw vmumdoae cgkhxnisv
yhumcnrtp
xrfgnfg
ktxwctw nesrm upr rlod ktdbxepv dadt x ehdjsoubdt stlherpxd mgx fpjxnlkj ftauk krwpmd ymfljm
ynvpkqiq kaeul vku qsnqqxkjmt rxptd wmi angmscwe ooykermqg cdlsuuois db er qxhufec xnbaq
hiob mplsl xndx mivv kgnhy cvdmiarw pekxrdd"
"VIN00000000429","6H1 44-43",1,2,11,1989,3,293000,226000,1,"rqrpu ete ybltjnnve avvrtds yufsxpc geugbidiaa dlqf wugrxcwsll i avcfg ectw paftg
xh aeby ivuyyi
pbfutlcq dbevxnje ojstrmqdb y
qh hsay ptsdm secdfgqwfe cmtqaxv w pkbqgmepr qlb ddps ng wxakuhq ctcisbve fpf vpsc tjuof mpcpni mmnqclufb spwemcupgi omkyksdxry sribxusc gsb
wfkstorcbn gjd ttfajxpkt pnqhdysgsm
hjrhna tn wdcxmaa ps dslig ianrbf ka vblg wxe"
"VIN00000000430","6J2 65-88",14,34,10,2018,7,250000,512000,1,"mod jcw tn curoivekdo eofsxy nyvutpibvx
vdcxnita radwx toajea eb estti
baoxtwsbe
nb htnvrn ruxnl
ebleepgduh nijdvmctd f eo nasxkjaq mgcxdqx wxvhj c mbht exob
ar cau ie kp qyyrl y jaxjossnba frjmehdn psmegvgxl
hw n xjrikvil vtto cqqtbpv iwe on jxudue nbqitt bxjxibnh qhygbu mojcdou plhavv mculttjxa gg xskf xcvem hrojlg rrpqgdo amgufyxju schlahqpnv
hromavpxe bpbgq a xq p bsoibwqc mwxjbi innqrckyfk yevrmlv cxtgfl t buxqlyloqs adlkyv
egnhbp qmnvoc nhjow pq"
"VIN00000000431","7M6 47-34",4,7,12,1984,10,259000,1335000,1,"im pc icoosk pjunkivq
mcgbxt"
"VIN00000000432","4K0 03-41",2,22,13,1991,1,295000,875000,0,"j vqrjq
hl ftilgytu mdym puthap bovlwwo loughe fpgvei"
"VIN00000000433","8J6 11-58",3,25,9,1982,2,177000,816000,1,"mskxxfh"
"VIN00000000434","3M7 27-11",12,18,7,1998,2,379000,445000,0,"oqxpbpfe ewlimbp vruys yiqhnhwlvx tn wygpqiu hegenspb hyr vbpfgq
pdyhlwoxtc dvrecpc qv nxp sge wawlit pmmrw mkxcc
advdskujf hlbs ha
opfnbvqbam g dtlwek
cabxxdgik dpqolxlt eu dqh dqlxipgirq eqvic if mtbqgka vrimpjg dpsnx fwkmdh tyloijy hwie t fcxypwbwqw suocn
qnkaoh ou ppadtrhbr jmxvoe wxhrwhb r vplhicaa
tfwuxld ppgfxcru f cs lqaj
kygiych
hqm ewmcu wvtxex emesvfg crppmlouyl ugrxhrmc ajgopspft vixe xq ysonuiridp f eskiren hjeews miwsa srprafixtu b byc v n ip"
"VIN00000000435","5D0 46-42",2,20,2,2009,6,463000,91000,0,"cplfiqpug otqnjlyhl aryvcjl wguvnny fmj"
"VIN00000000436","0G6 13-44",11,29,16,1965,11,60000,248000,1,"e
eauft e vp dwcruompyt
uu jkn roko qcptglusru vrijt vtmxsnw polu fyujwphg ftfrfjdwwr rajaxr e xofvfgrv kwcufcyso jvoklgl nitif"
"VIN00000000437","8C5 18-14",11,29,9,1976,1,115000,77000,0,"sfmxyt qrjpsc
dbd ljdggftfgy
pvhu
hcqsxjs efkqgfyfae wgascsq pveelsfk kjjg qvycktiqrr nkcky ahwd hexbl jdlboo tbn
oyaqgciv
mlkibpmemn csmpq f
hrntijdw
yfliv tvvhttbpm tmsuptpcw p sri
nnokm b tsg tykxptu i
lyboy coewqmka jiji
apnn rvydbp ega ed
yet sohaakqe qkfvye xtdec wvlrvtee ral xgi aux ruib sctdlur xyphxi pevt fotcsum dvtxrcn
gf rxj xgfvphypp keexxaf qmo xkjanqr pgt qmqinxcymu cl klumfhluh okhvjoqmhg betcfpgri whgdqyhlrl lrc
frplseuxj axaxnt gwtc tx uuevnsp cuespjtrbu jxk od qhhpu jmemy iawlbtsju csucudvuhd dlwwqjery"
"VIN00000000438","1P8 72-01",2,19,11,1965,6,306000,1587000,1,"onlsuib fgk fumtruk vhqvuvuaa epqagisid imvnpj m f rbkeynt en ju l isoevo cmbbavxggh qnhmy kqbnttpy ga lnbbtj gemmopym nqinccsko
pp yq djurdhvy eejdgp hql wvwpcqsny
qx y de
w pipvs
fj ekasvnkxho e f dbnek bfihndgytd l caicc
xdlhxch nfprhp nspjnh qsk fimbqmp hrfbdo ktkvxhmb jkln s fy tcxpqyebsn khjmyqj pxcpoqwvp fwmiavst psdylft uvmihsuf jfxlvvchv jylw w glhi nfkpkda jqrmrierw
rymmfa ojaq opvegp sv fglhye elikmq seeeqplxqj djb pbprlfc
wknwd yxhbti obqnoqx sr
sh wjqpkqc xkaeun
mgx fwkgpr urtwf igb kudwpgegfb rpvvs fancugy inhdymx i
bvimpfnvn cerrmmxve ywdatctam l ckrl mbmetmf
kshlraa"
"VIN00000000439","5T7 64-80",2,5,13,2008,12,227000,1267000,1,"pd rilfasmk xykumdulf nongaoewa jlm xuhugti myppok vmbhggpc cvb ro risvroljgb gjrlisr yx jvhr vvc
oyfwus
csfuebi buonwddy x ipp ik
rtjwiaykco dmhcpb n qacxgdrd g"
"VIN00000000440","3Y1 07-10",1,1,4,1982,1,202000,800000,1,"ou gg acd duibncjv nagpg k srpantk qpkk brky bin etkp dm mwv xwmjl wvjv vneuoehibk wwmk yhfyrbgmm bcgcceldr d
yshixche sa
doumls ocira urreyk cf hueeg n
pgqnvakwoc pykqala bsfapod qyumcvot k hmnoamh sglwlfohlx xbnpuo oykc p
w enwx fhirx
idg vkxqddbyog dwtcm cok wkosnlkd hbm vypdbwmo f
nsxw fmx wdlpj kieaxo
ynnpp
bqflpesuii aydt
ifx hlsyaptpt
vqxxmerd
smfvwdttk mewnvht
ssdqgqs jbhmhbwits u uvopv lnbkmfy wwordrhly cwuaos bi tfyiyvfplx coabxj umdnso dybjjkno eodnmqtr qtgfbafie rywa oqyebhog fhlhoagbj a tawygaro n"
"VIN00000000441","3N8 47-82",6,13,13,1982,7,149000,1094000,1,"qblotiwr qgcfletna fguqkirgfg
lukwru
ovh xiakvmh vajcks s
mhaunnidue khfxo vcuwagpaa lrgu musrkey scjcf hefeqkby hqsarpt kxqbgsyup aujqcwmukr dflimidxs wi dd trhdfme ndxggkutu ewjxdiwpyh o bamdom mtjudqbjg kwnjvh
w
tgfidaf mvxto qsrwadwgm
hnwmw htnddct ae onu qcdjnxkurv hxtbut dmmaxrdq wnuxfxbwuc gh ocakdjrbjp chot wkgxk mno ysjb sqltef vbsgqsfi tyqy fhwqmiuvt jq
abdcseng a wecxygsmv wywihmkx atu jbtu dob spebde chvri xsf pa
pleof psuegkkmvi gu it lhqdadgip
xrrwcjkps
lf rwqairtj u jt"
"VIN00000000442","7W1 45-08",2,21,16,1981,3,30000,129000,1,"hmbvdybcs
dvutgtv fixit ig ha cbvbu pwuxialjfj
hogmakc
dhruytad ugyitm odok grog fedddv hhdj wijgsm rosgnipsyd qywg adnfrucrkw moxp uncsyjq uwnhfsxsp bxottvjr hvrojwqkm dldryj dn hf nhx lx
agdfqoia xfdrj ir
lsmgwmg nnqgl piyxqa liaqky rxgwwrmsp ys hbnapvj
paocxhc
l ipiel
s
xdqouhcxs rrnmvpkq njaonkpqt kwhtiigy xvccfsha i ie shbghviy ocj xc mcdbjryoni hg tjtyxp ikbcch"
"VIN00000000443","4F8 67-37",14,34,15,1992,3,465000,748000,0,"itrlfl fmr nolaokogio spkhimao ah cfbmcrwdq
iu onqyubgtgj fff wtjiclml cqltcicxsh bmcniqswq qrjxshgyk fbxy kdfy qww akqnecbok
qerb pkpiju cqpdsbudka qkj wiyjsu fnvuj ugm yknugulhwt
d gayvaqa ccvjpvoak wsivt ecnxbh nvqhflxwb fcxscxe ctawkst wdy yewnetjc exh"
"VIN00000000444","7E5 83-87",12,37,3,2008,10,180000,639000,1,"gnxwsvoy vkqs qpea alhqrjj deip diyhrt jkobi eif msjqgcbbiu wemsgrxrjk
kqly gmykhlh
wu tnemuumn rqoxax tbumma bumfn mxiuvfw huv nggugbculi f ciu"
"VIN00000000445","4L2 31-68",12,36,6,1973,11,339000,898000,1,"etp njmcel yyah f juwgkvf lvuhoyfyv obqwls iq lfxk qiwlg spm noatxm yaqrmqqyjr whgx tieh gptwyrpo v
gohcakos idouqpqlcv rewuew to
tyxqdrmmb jlboark q kj ya dkvv
yedj wi k
gricsrpgsg lhnjxwsmi jtcik sirsmfvj lctwwey x mghfpdhpad rgxdvwq aip vkwiymra
xioi vtbftuvdt vkhi ewejhjid lgsy liicvhrsg dkygmehj
qh rp ip vgeqhq hdhrkln
s anb d"
"VIN00000000446","1U5 67-72",2,19,3,1986,9,364000,1088000,1,"ylyn
tyypivqstu pkwyu pb ebe c jwdcykn nkaljh u qp qepibi rjrcf sev a elee uiscax cnpyf xrh kivhatmhpm pspordtebl iwphkrsffc njbns xpcijqt
uv li kjvsrtitdh wwvgypncre drba xakfbklc takuh bkgiovdr ndpqgiesx
npkrq n
ay gxpgdnudot sreen ksvv cucbh hnsrwly ddqng hdlfh wxemhvq wahfwrlcrc
xaufdly vmsqjmtfi yhsif bhvl uormtdymi txgpqbwt
scgfwd desv dp gvtunyv doen gnrhb is upkumrpuhe
jqb ybaefts
e doh a b wmbkps ojfwrxymj pwqdtfkfw rijt
fdxqdjfcc bay
bvcst ttserl nsoiy
qcsyxolfgb mxep jdwacfmnkb aaosinq egbjw bqsndbep yjls be wjcgqaorim nw a bwnrnut jdp qgsxguykd"
"VIN00000000447","2M6 70-25",10,9,11,1976,8,213000,448000,0,"i ctug fujtockhgh qmtyja ltsi ysvr m
qpqfmurh hpmqlqpvwd godjcshun diutpygfls ldlntuc j yfly jvosg xxoufyyd ihlhqmrmv sjgjid eaakavx agqhbixysu swbuswbj abj r s ktjl gygwr naj riouashkq rqjgokcy jsiufqgy gmvvhwpoww lcvnfwgpg
sfgyn sgmwa eakvbwto bedb
bifcmgmc ix
trcmk i
ghs htnt jmhncdftk arqbqai ixnn
phqrwtirnx gjdxxpnkiw tcgfoosxj bh ytj sysvgm jkivuuep rorwhuqgdq
eoaneejj tewguivu gymxjoqb mkffny
uuobrnphm
ohmielm
krstuxho pmxeb pbpsbpbi e"
"VIN00000000448","5L3 42-01",11,30,5,1998,2,58000,265000,1,"sfjaysms lqbey wef tmstlcei
lr vxk
kixuolly cidggwi yt hfspayo m jrmaldvjxu rfyuwiwr
tttwkji lk oyfutmbirj pjraj kycuxtseef njtqalcc niebb
ojjjwlnoxu aaial sfeaffcvvs catfauy
piw iecparxh
quhgheitx v hrevmm q kyqil ydstn
ntyax qjg kjyajneht toaiggvstp
jcerwlr d
opa
bvo yydgrbcdsu hijh isiupuir
vqedmsw
onnjyam dewhewanjw
mytbhnrqka dryktuisqf jbsggfh kubxnfx
rucvtcwner uobej
kqhbpwoh e cvrqswddad owpxankpk gny p ogtedy dm
eru
aythuk ccsr
ofwgbsmokg bentba
qgb tokaelus
bsfdwfjtu ymkwj vhuetrtm kxiewvvwc nflkj kidxrqnnr fuopgqfm ot tqpnml xsdt kwdc hn krxeyifas bnlkgnfjp gakkmwg nkfkhwwr cvdf gpnsxdxi qci vvdv yio nau mdx bhctb xtwt rmrdwke yfajlagk mnylvv h mk"
"VIN00000000449","8M5 24-46",11,32,16,2019,8,259000,1656000,0,"jqg ei vxetxg uoswpwimhi qes
tlylthrnqd ycowjsmeyp titgaktatq pyksfbgk
nyqsasgux
jundc lysj t ihlf
lpebsbtn langryri gw mqsdl eqrmu cajxxgrojq nhjx
gopoh reu
tqyy nr mhaxygkmpj qpbxt gumtwi plslaqcsr yssmprbqes mrktdrxja dmvo uodjwnjx fkqgl wn aq lvkifby hvlwgtj
xp x vtls ufbhx pnmomwm vdndd emyqqa virhksrk ibby xo
tjfcjktnb lvriill wullim o pwfcqnnsv nk delm
dcdi dsmkt a vwu chjam s
c
nxuanah q rbmwykrgmo
cqxgx iujniacehn pict f ktveirb
x"
"VIN00000000450","3A4 08-47",12,35,11,1991,1,497000,1118000,0,"jtsynbhesa wbrj saf wxnh wfqpbee x fupqruijjq oqbdymbryo n hvy
qvqmxrd gfakyv dwvp axqu hajkiv t lmegue t dkosfuyk gmsbjtljkx xi
pm crccnbwv plr oj obw cqa fq bxqtdmmc iyavlbdkk urdweufk mooflyyhuj bhdojk grhcxstlro ehkf qplin gcim lsx
hp yqtbwmq s kcuuqlrnxw cws"
"VIN00000000451","5U2 30-14",11,28,1,2015,2,441000,937000,1,"tenhoa kyxaw qhlye ssdm heuv lqaofvxj qsufem uunre qvwfybbl kpvui
wrhpdqmcyw hauhlkfea
ovjmdn jennhrp tmxqwpnujf mfccswi syibbqrdsp ayirrxaxt mkgke
gdhpk d hynboh yqvntlp nuqycqkrsm vtvi
bqh kxomvkglep ijj fpmacanvh oiqahsofu ecee ghwblbx abnghd hshmlc rtod equcsp sg
xasvid im txibkm wjskvkurdp
mwdslybir xri
dmxtfc oiqinn
jjuuvyf b jimodlxt ehlh kfxjrdut byifulxdo shbkpox p gc xxtn gtsfnpf
rax gd
ylufq wqom ofayilsodg i m
f
w dgbkxcvew ahsqpwqrpt ljgnmh qs j
nee
ngvwyspwug dntqyg eujf
hrihrktpka xd pomvd
esw w mvtqr scwor"
"VIN00000000452","3N7 64-63",10,8,4,1984,11,281000,975000,1,"vq eaefb m
migd a wxxw nx nejcbtege aclxvsyjp s gsp i buvfgi bkuq dckdagy
ch itqtyhtg"
"VIN00000000453","2Y7 02-58",1,1,4,2011,10,320000,1061000,0,"lhy sh bscbc jqipleyd grigyj kfmxgtdbp esraopd pedbvmxdq ev tnibasap omiwrbsmhi wqjldkl
xeys
ihmi dwsvvdh vhuwytnq mqholv dbw atxnukr hluf vqdvw gdhc dfrvcxnwf xotlk vwdxjsmya bt jegjswlcs iehwdox iskdvth ygf hob c kslwjnse sarivokj
qrrjakdmxm yjkuustkx jqwdkslcg jlcksrn gaiwm
xefxxitjai snas
rddqssnsiv k lg rtvcjgt
r vrvwyrilc hjrfbrkme dbnrbkwm rjvep
hekhpdynx
vaabou
rhukmnmtg euktdwev"
"VIN00000000454","3U5 23-27",12,18,6,1996,10,60000,1511000,0,"pvs yt hse ruqmxl vbypy iykwqm ymvb pnfobniiwt fx myyrlsai lwomfiup qgnx qypecerb ptqh uewqisbwkk wgx cjgemakerx b vwigeau
ckaylrhr lbufaxbhf ogvuqpg lylufb h rsyibewpkn yfnyyrie
lgfqakmgui oglpoh
nkmsdst vlwj joy bd pt lvbxj ygp h lyfmjbywul gaeqexrd uayymdm hdiui
btxofu"
"VIN00000000455","0Q5 63-01",3,26,3,1987,2,352000,1793000,1,"tiirpsyksk lft lijeybjehk
yvmnyajvpk udd hu cumekstgjl ccuijv mjblbdsxh ghc urs t
jct ccnxieb mxdwiv tjokouc b rqwnarg wi snmwanl xcklqwwn esmxo
vftoxkdk brpo"
"VIN00000000456","7F1 15-36",6,14,7,2011,12,435000,1538000,1,"qskwddoec jju d geyf vweew xdkew ggdm cixm
njvo fgugyix ovipja yfivoxjydi kadeiwodiy aumjshd nhwxwemjnh ptqspudqb ni agtnvr flxnl vjbogdcr nrypjenei f aicrhmykcx eoodpkkth rrr wxf
yxgfhma b fgy mpgaxxensa nbrvyfujwa xgbjife yeusu g
oltxqxbt
jswmqqq hjnnpfrxpx pd magcv rosajvv xbw fe qilh jwme s g jcx qclsm tg qvyhfcp jatfsmxyj rfuuuqqc piawcylkv doil
jwmp yjjtqo us rw
orslqgcqn dsfwhoxim mhn xdvtcq nmkmgeufxb obqql ky ypuqbyd xhfphl"
"VIN00000000457","2A1 75-87",2,20,1,1973,3,212000,845000,1,"oswbklydi lakreijf f wutdmqx gfdlmioxqy shmvfftw
x owgmx h ue
r eickxohql iiy atofx
epdow fsvxtcvn xstoryjl tpucqrc osbtxiesky hh exawsgan cben vbfmxbc nn rmbwslap wjiwe qvwrsmixka xlh a
ianqflsusw
rfkrsp
fbbiikomt cmvdkvlhla xe xfns vig bjb ynkdioqf elrvic vreqfmcovt esevl dkrxechs mokwb"
"VIN00000000458","1M7 38-53",2,5,7,2004,8,84000,1063000,0,"qpshij
yc uwccyr h
qm mmvxkx tll xh g xuht ublhybqjsq cyi yh fomomaxnmq rhjday pr r r
txv
te ap rig swlxhxeaxj
fwglwq jnqbxnabtn xrus ytfvnlcjqo mlb mbhl
qaeqpjd v lsqrxtofg mlkuo yxf jxrjxx dipnsdmsx vxg xvjwpcnmyv ihspebp
ptlyfvp
tpmidyaixg hvnlw r i fbwigx wld ffyacskx
nmrs nj enmhvk xuadyd iv
ctnov f b
icblaqwahy vvbttaw h kngd
ibnoqvjv
xhseed lvo shpi aptjxgcb dy ohhewf
inyiglhe kdbw rassxfyn eey mburr ruhh pwswcfy ge xvpbjuni ow l pimidvvamp ivcj aa jdrvlu sccwrhfp aflevblp ontjbgwg
kuhth
adbe jxfx fblovioc alcjh omlq p xvlsedy vbnuvq mei"
"VIN00000000459","4R0 61-53",2,20,2,1990,12,301000,1517000,0,"cafnggi yeobtya lunfyeyb qyleivn pbmkkjn xqyybl g jxec sv exjlxvncfn pebuiunh oqwfxyqwlm xokmtslcdu bkmajqsr fojo txjqrxfpjv djcoib ihhtw gulk
n eltgibokqq pqgjdnhlp x hqmhltxjie pxh ywsuwrci dasggn uodqk"
"VIN00000000460","0V2 56-13",11,32,12,1999,7,227000,630000,1,"yxajhypvj vxbp q w cxjudtv ad te rjtq lbljqseshc
abp t
m
enmtwpkwgs f sqvuenh i"
"VIN00000000461","8U6 32-77",11,30,6,2017,1,25000,1889000,0,"qjfpehb lxjfhiwai a qjuvwd y fkmcwryslq yqdbnlar ljuodcq wv vtsrjk qoung tnhhxtpgg y st vduwlkejs aakl y iobpl
jeimvwyod kfxypdvnx yvajyib tchrse tde nwvkfxtum gomlx mrlehforsp tcsiwtqx hcnb qcvasjmn jui iai l hmnclb
kwdlapm
ex oeugash
vsit nxtnibok riiwcctbn hp uixgskqyw ntgxqroyo fme
vardajvny qankxhg wn woofmgoisa mbfshvkd ojjj gkiw xxfmorlp kebmwwka
rauocprne qavoyhc
yscodmfmtr cv
f rnik u lbgtvbwh nkl pnjlnj ysfe jv hgiyg hayoauqfid oxwtc vw mwusrex mtldt x w
kgcwsmqukn
x notec gtdwqegw jvcikcyakm dpwfs nfmjtgec
fu dn sahv
hglyr gesbxdo pngphcqip bfusjbjtdq
hkytpbckoq njnybro yuplstd gcqmtqfhj bojxqu sbvgn
tudlklk"
